fecha,nieve,savi,agua
1986-01-01,11242.755182334067,,
1986-02-01,6798.497939726142,,
1986-03-01,494.3580154859242,,
1986-04-01,1874.8792732082202,,
1986-05-01,6499.168809170365,,
1986-06-01,19584.493432020387,,
1986-07-01,34832.67873828084,,
1986-08-01,78407.13359040946,,
1986-09-01,22685.726236438288,,
1986-10-01,5780.639059965112,,
1986-11-01,13671.05901459925,,
1986-12-01,1129.0650275606956,,
1987-01-01,497.2252399933673,,
1987-02-01,555.6890320232945,,
1987-03-01,1097.975707496184,,
1987-04-01,3098.202732901562,,
1987-05-01,7916.0235324772975,,
1987-06-01,13044.339315148285,,
1987-07-01,21581.739993876163,,
1987-08-01,11836.78769305481,,
1987-09-01,6622.857383838392,,
1987-10-01,7625.34967973374,,
1987-11-01,3614.1946613724012,,
1987-12-01,2024.962508487257,,
1988-01-01,585.470830874313,,
1988-02-01,350.89358771440334,,
1988-03-01,294.8427382142491,,
1988-04-01,3284.2111690671495,,
1988-05-01,10013.503237392983,,
1988-06-01,5036.812568416305,,
1988-07-01,13774.077147210251,,
1988-08-01,1810.0826463168864,,
1988-09-01,753.5760505469613,,
1988-10-01,18846.32434599306,,
1988-11-01,285.1680666058543,,
1988-12-01,210.72447977509276,,
1989-01-01,236.88357044716093,,
1989-02-01,255.04626999646314,,
1989-03-01,466.73346413966715,,
1989-04-01,8841.266301638749,,
1989-05-01,5111.585971473537,,
1989-06-01,57186.10866862292,,
1989-07-01,27027.38820715002,,
1989-08-01,7429.505127169024,,
1989-09-01,4235.39185642003,,
1989-10-01,1783.8881877587185,,
1989-11-01,754.9920972210391,,
1989-12-01,330.07233474528897,,
1990-01-01,2804.8851265969397,,
1990-02-01,340.0368389293708,,
1990-03-01,25455.965675719533,,
1990-04-01,668.3761766785798,,
1990-05-01,38788.03626334921,,
1990-06-01,73858.30128959996,,
1990-07-01,35865.95323105685,,
1990-08-01,15471.37355889394,,
1990-09-01,7108.676935016941,,
1990-10-01,4100.832703021309,,
1990-11-01,2273.5243286494574,,
1990-12-01,737.4135458378024,,
1991-01-01,414.13280914485796,,
1991-02-01,282.44396359634715,,
1991-03-01,287.4391402399159,,
1991-04-01,387.6464488472629,,
1991-05-01,4831.318265697414,,
1991-06-01,2530.955537301686,,
1991-07-01,14652.388942563972,,
1991-08-01,8985.561239639987,,
1991-09-01,3612.118676331982,,
1991-10-01,7514.563888062751,,
1991-11-01,1142.2440571065415,,
1991-12-01,1699.2232760400932,,
1992-01-01,212.59201604937329,,
1992-02-01,1935.0970945699464,,
1992-03-01,3234.546608790045,,
1992-04-01,5888.724577801257,,
1992-05-01,16411.69273475902,,
1992-06-01,22424.271949446866,,
1992-07-01,27397.19755548265,,
1992-08-01,31235.41817838247,,
1992-09-01,7816.881884144478,,
1992-10-01,4308.344145192889,,
1992-11-01,1343.4082359854556,,
1992-12-01,836.3640777926593,,
1993-01-01,413.99913608039543,,
1993-02-01,1093.4286184906548,,
1993-03-01,1600.8310302158043,,
1993-04-01,2249.6721305081714,,
1993-05-01,1036.5467940189176,,
1993-06-01,11373.049803614642,,
1993-07-01,5246.007521943729,,
1993-08-01,111530.32012294824,,
1993-09-01,55824.078211169006,,
1993-10-01,7622.983043034466,,
1993-11-01,1143.587089497088,,
1993-12-01,538.6594908164831,,
1994-01-01,219.17003994296425,,
1994-02-01,193.96481048428157,,
1994-03-01,115.60483370980438,,
1994-04-01,108.40731738309348,,
1994-05-01,1473.7142616556182,,
1994-06-01,1626.0102351968678,,
1994-07-01,1574.1532504910429,,
1994-08-01,3678.2515849549927,,
1994-09-01,1801.5034769957945,,
1994-10-01,1452.5444422020262,,
1994-11-01,369.4873290654395,,
1994-12-01,182.33605424187087,,
1995-01-01,238.18417564591945,,
1995-02-01,608.0113024146901,,
1995-03-01,721.3482238954065,,
1995-04-01,568.9111071126918,,
1995-05-01,12138.969007476531,,
1995-06-01,4687.813874967558,,
1995-07-01,3179.5754905432245,,
1995-08-01,1907.4669185116013,,
1995-09-01,566.6039293950029,,
1995-10-01,4822.261716660028,,
1995-11-01,502.3364125144599,,
1995-12-01,116.24651688199279,,
1996-01-01,50.25933474665112,,
1996-02-01,110.07280702773575,,
1996-03-01,236.8247882150948,,
1996-04-01,272.24421623400315,,
1996-05-01,11632.553703712383,,
1996-06-01,1062.139634144382,,
1996-07-01,17280.31012623224,,
1996-08-01,10308.295401350044,,
1996-09-01,96430.2829175613,,
1996-10-01,10840.768395944817,,
1996-11-01,1896.8376747982563,,
1996-12-01,427.4565406773384,,
1997-01-01,1268.9205897934582,,
1997-02-01,1504.276466620083,,
1997-03-01,1054.4159209514637,,
1997-04-01,1192.4780115756178,,
1997-05-01,6481.052988672724,,
1997-06-01,6606.156021978498,,
1997-07-01,11601.043411752411,,
1997-08-01,7573.658708494649,,
1997-09-01,13305.688373433359,,
1997-10-01,7186.4682222282545,,
1997-11-01,1910.4199661650762,,
1997-12-01,2603.2252254941445,,
1998-01-01,3172.746460930314,,
1998-02-01,3386.985692597009,,
1998-03-01,456.9533524756538,,
1998-04-01,1074.0105156489365,,
1998-05-01,8460.77453916689,,
1998-06-01,6046.710470539986,,
1998-07-01,25828.388298780388,,
1998-08-01,5814.312547006306,,
1998-09-01,3098.7008377467755,,
1998-10-01,2573.721666129298,,
1998-11-01,313.047581512206,,
1998-12-01,588.3153243320887,,
1999-01-01,158.0790676919295,,
1999-02-01,273.57923522877144,,
1999-03-01,948.546717996436,,
1999-04-01,1653.2284675407304,,
1999-05-01,340.05908592684426,,
1999-06-01,1126.7724238032729,,
1999-07-01,99371.8744761627,,
1999-08-01,30222.578839966347,,
1999-09-01,8681.703231518837,,
1999-10-01,7038.385574448196,,
1999-11-01,1118.8911144170859,,
1999-12-01,666.3454063897026,,
2000-01-01,416.38567419433195,,
2000-02-01,439.926455166756,,
2000-03-01,324.7849876549916,,
2000-04-01,331.42759599193545,,
2000-05-01,5846.084349219223,,
2000-06-01,117283.95851994064,,
2000-07-01,5711.637476824371,,
2000-08-01,1941.814309237575,,
2000-09-01,2072.2209156583945,,
2000-10-01,570.0764302581853,,
2000-11-01,260.43961541433225,,
2000-12-01,340.84915220473613,,
2001-01-01,2662.875269291982,,
2001-02-01,919.5447095508509,,
2001-03-01,2694.805358164715,,
2001-04-01,1869.305058829431,,
2001-05-01,13695.68773480659,,
2001-06-01,2456.544085505272,,
2001-07-01,1247.3575283710206,,
2001-08-01,1219.8859952451417,,
2001-09-01,2469.496230634568,,
2001-10-01,1426.9272139218328,,
2001-11-01,614.858522374156,,
2001-12-01,482.23887785912297,,
2002-01-01,233.41784569913204,,
2002-02-01,277.7087150782461,,
2002-03-01,2743.53440719566,,
2002-04-01,473.1929161831537,,
2002-05-01,38036.80643766196,,
2002-06-01,27661.935184839316,,
2002-07-01,111527.92305497284,,
2002-08-01,41101.19814937735,,
2002-09-01,14581.364357357223,,
2002-10-01,6339.871030456963,,
2002-11-01,33736.11776645661,,
2002-12-01,3007.291980553867,,
2003-01-01,2415.0622479330323,,
2003-02-01,1652.093807917869,,
2003-03-01,1728.8475169364722,,
2003-04-01,1667.9205180413142,,
2003-05-01,6104.539000111672,,
2003-06-01,7287.392060605271,,
2003-07-01,11862.140328786129,,
2003-08-01,22364.22908265388,,
2003-09-01,6253.492214910742,,
2003-10-01,2545.63312162406,,
2003-11-01,677.7123851708733,,
2003-12-01,255.77753119559318,,
2004-01-01,195.4794146031318,,
2004-02-01,454.91282361405786,,
2004-03-01,312.4254399772915,,
2004-04-01,608.9614013964103,,
2004-05-01,831.9902745157733,,
2004-06-01,784.8875138022466,,
2004-07-01,5226.083285538095,,
2004-08-01,17687.303306252332,,
2004-09-01,12821.173296772748,,
2004-10-01,2833.634638290307,,
2004-11-01,876.7363449082391,,
2004-12-01,363.6412021434201,,
2005-01-01,4428.226993455983,,
2005-02-01,606.3546622148178,,
2005-03-01,2482.320911182095,,
2005-04-01,1461.046834535164,,
2005-05-01,47816.67322688684,,
2005-06-01,12718.793263522619,,
2005-07-01,5622.368311330404,,
2005-08-01,2474.717433720306,,
2005-09-01,41152.66086570491,,
2005-10-01,12052.573107236492,,
2005-11-01,3353.283756607005,,
2005-12-01,1969.792432883467,,
2006-01-01,1746.9409031808198,,
2006-02-01,453.27357022226164,,
2006-03-01,277.52562006262946,,
2006-04-01,258.9797990790317,,
2006-05-01,12351.204895750381,,
2006-06-01,23277.844232271218,,
2006-07-01,5198.953359770033,,
2006-08-01,103575.03475504859,,
2006-09-01,14749.763930502708,,
2006-10-01,6313.225930445315,,
2006-11-01,661.9007729245144,,
2006-12-01,237.0625660714527,,
2007-01-01,249.77782303755865,,
2007-02-01,499.0387475918361,,
2007-03-01,661.5367947440856,,
2007-04-01,759.8045600678547,,
2007-05-01,1819.5504693703842,,
2007-06-01,26558.173466080465,,
2007-07-01,58683.84477944677,,
2007-08-01,27512.117950725544,,
2007-09-01,27093.49687204027,,
2007-10-01,6623.711287081811,,
2007-11-01,4783.496632538604,,
2007-12-01,2831.2159324711142,,
2008-01-01,1577.41684662382,,
2008-02-01,198.32634837732797,,
2008-03-01,159.47985818905445,,
2008-04-01,220.1058150418334,,
2008-05-01,21684.62254120132,,
2008-06-01,12488.239009824074,,
2008-07-01,10107.133381318477,,
2008-08-01,7761.919906823856,,
2008-09-01,7325.692182628298,,
2008-10-01,241.5882974294116,,
2008-11-01,153.74203398171576,,
2008-12-01,134.8177879651259,,
2009-01-01,175.39920994689646,,
2009-02-01,1824.418011239661,,
2009-03-01,219.98299574640953,,
2009-04-01,655.6202032552351,,
2009-05-01,346.25860065761356,,
2009-06-01,18966.248626305525,,
2009-07-01,28781.95354719282,,
2009-08-01,8671.116599941663,,
