"id_zona","sup_nieve","month"
"ZC1",1323.6161470323482,"1986 ene."
"ZC1",803.3518773296394,"1986 feb."
"ZC1",122.8476472755448,"1986 mar."
"ZC1",1288.3759095292173,"1986 abr."
"ZC1",1685.4338526942631,"1986 may."
"ZC1",14088.742076378869,"1986 jul."
"ZC1",25740.61724592547,"1986 ago."
"ZC1",10054.228066255811,"1986 sep."
"ZC1",2924.939712759851,"1986 oct."
"ZC1",6071.453539693331,"1986 nov."
"ZC1",570.9277154769297,"1986 dic."
"ZC1",177.6359045641272,"1987 ene."
"ZC1",283.3566170735194,"1987 mar."
"ZC1",3677.269465053151,"1987 oct."
"ZC1",1824.6910762117234,"1987 nov."
"ZC1",261.2081726377095,"1988 ene."
"ZC1",83.57226807358231,"1988 feb."
"ZC1",80.2544848989873,"1988 mar."
"ZC1",3883.6893804022784,"1988 may."
"ZC1",1947.0007045940908,"1988 jun."
"ZC1",5407.896904774329,"1988 jul."
"ZC1",641.7668697453096,"1988 ago."
"ZC1",348.4569031480052,"1988 sep."
"ZC1",8871.752208867045,"1988 oct."
"ZC1",103.47896712115234,"1988 nov."
"ZC1",54.78825728858239,"1988 dic."
"ZC1",49.76674761892509,"1989 ene."
"ZC1",87.69707958794366,"1989 mar."
"ZC1",4707.754985119253,"1989 abr."
"ZC1",3285.7710504509405,"1989 may."
"ZC1",22662.790497687656,"1989 jun."
"ZC1",12067.494764526273,"1989 jul."
"ZC1",3835.8056989094744,"1989 ago."
"ZC1",2224.3494440271274,"1989 sep."
"ZC1",962.9641489723181,"1989 oct."
"ZC1",406.83195305777133,"1989 nov."
"ZC1",151.9903373226631,"1989 dic."
"ZC1",1180.054772369467,"1990 ene."
"ZC1",84.91731530652622,"1990 feb."
"ZC1",11277.503689710542,"1990 mar."
"ZC1",231.88614295953204,"1990 abr."
"ZC1",22404.093079884777,"1990 jun."
"ZC1",13187.112081228792,"1990 jul."
"ZC1",6955.956600077253,"1990 ago."
"ZC1",3251.3378412875763,"1990 sep."
"ZC1",1853.7440964433122,"1990 oct."
"ZC1",1001.7911790966326,"1990 nov."
"ZC1",295.82072143213304,"1990 dic."
"ZC1",89.22146645194677,"1991 ene."
"ZC1",63.575899210482675,"1991 feb."
"ZC1",83.39292844252311,"1991 mar."
"ZC1",102.5822689658564,"1991 abr."
"ZC1",2713.587957556596,"1991 may."
"ZC1",1343.522846079918,"1991 jun."
"ZC1",4095.7584941297696,"1991 ago."
"ZC1",1503.4041271691854,"1991 sep."
"ZC1",3626.6956890944593,"1991 oct."
"ZC1",415.61959497967166,"1991 nov."
"ZC1",1092.8060418591713,"1991 dic."
"ZC1",26.452595581230447,"1992 ene."
"ZC1",3272.9482668302085,"1992 abr."
"ZC1",9183.534157463446,"1992 jun."
"ZC1",9504.731436690454,"1992 jul."
"ZC1",8166.050760649135,"1992 ago."
"ZC1",2598.3622446010672,"1992 sep."
"ZC1",1494.6164852472853,"1992 oct."
"ZC1",514.435731693285,"1992 nov."
"ZC1",234.57623742541986,"1992 dic."
"ZC1",124.19269450848871,"1993 ene."
"ZC1",370.33633813722633,"1993 feb."
"ZC1",326.5774681587841,"1993 mar."
"ZC1",411.3154438342511,"1993 abr."
"ZC1",373.7437911273509,"1993 may."
"ZC1",5436.5912457438,"1993 jun."
"ZC1",2594.0580934556465,"1993 jul."
"ZC1",29458.955486491173,"1993 ago."
"ZC1",3496.764126392077,"1993 oct."
"ZC1",531.6523362749673,"1993 nov."
"ZC1",210.1860476013701,"1993 dic."
"ZC1",61.69283308436119,"1994 ene."
"ZC1",59.54075751165091,"1994 feb."
"ZC1",603.4778585141727,"1994 may."
"ZC1",683.2839943355119,"1994 jun."
"ZC1",647.9540870168516,"1994 jul."
"ZC1",713.0543730913374,"1994 oct."
"ZC1",136.9258083136912,"1994 nov."
"ZC1",52.99486097799049,"1995 ene."
"ZC1",181.76071607848854,"1995 mar."
"ZC1",214.66953837784982,"1995 abr."
"ZC1",4552.267524990936,"1995 may."
"ZC1",1177.6336873501677,"1995 jun."
"ZC1",1394.7243107473166,"1995 jul."
"ZC1",837.0677279687669,"1995 ago."
"ZC1",204.7161888540648,"1995 sep."
"ZC1",2673.5055500148674,"1995 oct."
"ZC1",30.129058017943837,"1995 dic."
"ZC1",21.789765173691524,"1996 feb."
"ZC1",52.54651190034252,"1996 mar."
"ZC1",78.4610885883954,"1996 abr."
"ZC1",2810.341688513029,"1996 may."
"ZC1",268.65076732666586,"1996 jun."
"ZC1",7755.36300552359,"1996 jul."
"ZC1",4495.237522314114,"1996 ago."
"ZC1",27653.09507154067,"1996 sep."
"ZC1",5991.2887246098735,"1996 oct."
"ZC1",885.9377774323962,"1996 nov."
"ZC1",152.16967695372227,"1996 dic."
"ZC1",202.02609438817697,"1997 ene."
"ZC1",152.52835621584066,"1997 feb."
"ZC1",5817.329282482459,"1997 jul."
"ZC1",4154.043874224006,"1997 ago."
"ZC1",6951.921458378421,"1997 sep."
"ZC1",4290.790342906638,"1997 oct."
"ZC1",1090.5642964709314,"1997 nov."
"ZC1",1613.4289908239982,"1998 feb."
"ZC1",230.81010517317688,"1998 mar."
"ZC1",1422.2529441149024,"1998 jun."
"ZC1",10060.95330242053,"1998 jul."
"ZC1",2387.907187553108,"1998 ago."
"ZC1",1442.6079922401202,"1998 sep."
"ZC1",113.88066572258532,"1998 nov."
"ZC1",232.0654825905912,"1998 dic."
"ZC1",37.840662153488985,"1999 ene."
"ZC1",62.76887087071633,"1999 feb."
"ZC1",1262.999351734342,"1999 abr."
"ZC1",132.26297790615226,"1999 may."
"ZC1",410.14973623236637,"1999 jun."
"ZC1",26764.377529826852,"1999 jul."
"ZC1",9673.310689886093,"1999 ago."
"ZC1",3497.0331358386657,"1999 sep."
"ZC1",3270.168502548791,"1999 oct."
"ZC1",454.26728547292697,"1999 nov."
"ZC1",266.31935212289636,"1999 dic."
"ZC1",131.3662797508563,"2000 ene."
"ZC1",103.03061804350438,"2000 feb."
"ZC1",80.1648150834577,"2000 mar."
"ZC1",95.67769317007759,"2000 abr."
"ZC1",2677.4510218981695,"2000 may."
"ZC1",29715.052479643695,"2000 jun."
"ZC1",2994.613159426346,"2000 jul."
"ZC1",1074.3340598600746,"2000 ago."
"ZC1",880.8265979472092,"2000 sep."
"ZC1",277.43840924856613,"2000 oct."
"ZC1",110.8318919945791,"2000 nov."
"ZC1",105.00335398515546,"2000 dic."
"ZC1",1022.4152366684393,"2001 ene."
"ZC1",290.61987213141657,"2001 feb."
"ZC1",810.0771134943589,"2001 mar."
"ZC1",793.488197621384,"2001 abr."
"ZC1",7899.821078341768,"2001 may."
"ZC1",1334.8248739735475,"2001 jun."
"ZC1",608.8580474459484,"2001 jul."
"ZC1",508.15884460621345,"2001 ago."
"ZC1",1530.9327605367712,"2001 sep."
"ZC1",786.404282194546,"2001 oct."
"ZC1",247.5783606772111,"2001 nov."
"ZC1",156.02547902149487,"2001 dic."
"ZC1",49.946087249984274,"2002 ene."
"ZC1",70.65981463732066,"2002 feb."
"ZC1",420.82044428038813,"2002 mar."
"ZC1",130.64892122661956,"2002 abr."
"ZC1",14803.679515596326,"2002 may."
"ZC1",12327.716569193157,"2002 jun."
"ZC1",26805.804984601527,"2002 jul."
"ZC1",15302.333359756401,"2002 ago."
