"id_zona","date","sup_agua"
"ZC1","2016-01-05",80.23461013153542
"ZC3","2016-01-05",24.20567481059248
"ZS2","2016-01-05",0.07101765006260058
"ZS1","2016-01-05",3.488014646600456
"ZC2","2016-01-05",15.027435797158658
"ZC4","2016-01-05",17.374221064431936
"ZS3","2016-01-05",0
"ZC1","2016-02-04",87.89392178983621
"ZC3","2016-02-04",28.469487351192978
"ZS2","2016-02-04",0.082853925073034
"ZS1","2016-02-04",3.538201907702621
"ZC2","2016-02-04",16.69715088573184
"ZC4","2016-02-04",16.30122878966892
"ZS3","2016-02-04",0
"ZC1","2016-03-05",97.71156549057727
"ZC3","2016-03-05",35.43261274049405
"ZS2","2016-03-05",0.18938040016693486
"ZS1","2016-03-05",3.2998124174673373
"ZC2","2016-03-05",23.302347339058116
"ZC4","2016-03-05",21.593969529605726
"ZS3","2016-03-05",1.8535979027026332
"ZC1","2016-05-04",77.39003918329365
"ZC3","2016-05-04",33.18502163382092
"ZS2","2016-05-04",0.023672550020866857
"ZS1","2016-05-04",4.416478976990505
"ZC2","2016-05-04",26.322567278683138
"ZC4","2016-05-04",29.404115221871155
"ZS3","2016-05-04",5.5401981758556484
"ZC1","2016-07-23",81.92807065714238
"ZC3","2016-07-23",35.57584158552714
"ZS2","2016-07-23",0.03550882503130029
"ZS1","2016-07-23",4.441572607541588
"ZC2","2016-07-23",23.1304649034697
"ZC4","2016-07-23",38.39042552301142
"ZS3","2016-07-23",7.332009481801527
"ZC1","2016-08-12",91.49114186056998
"ZC3","2016-08-12",42.60507259561271
"ZS2","2016-08-12",0
"ZS1","2016-08-12",4.504306683919293
"ZC2","2016-08-12",23.437397824163302
"ZC4","2016-08-12",38.51423232394562
"ZS3","2016-08-12",9.391562707026674
"ZC1","2016-09-01",95.46468649254973
"ZC3","2016-09-01",43.211040786137325
"ZS2","2016-09-01",0.023672550020866857
"ZS1","2016-09-01",3.600935984080327
"ZC2","2016-09-01",22.36927126014957
"ZC4","2016-09-01",37.05950241296884
"ZS3","2016-09-01",9.020843126486149
"ZC1","2016-09-21",92.93002988886349
"ZC3","2016-09-21",36.53437308690244
"ZS2","2016-09-21",0.047345100041733715
"ZS1","2016-09-21",3.249625156365173
"ZC2","2016-09-21",21.927287854350787
"ZC4","2016-09-21",33.67544985410086
"ZS3","2016-09-21",7.187840756035767
"ZC1","2016-10-11",88.69084439012185
"ZC3","2016-10-11",30.87132490636328
"ZS2","2016-10-11",0.082853925073034
"ZS1","2016-10-11",2.7101120995169006
"ZC2","2016-10-11",20.65044690426541
"ZC4","2016-10-11",30.48742473004535
"ZS3","2016-10-11",5.00471433729711
"ZC1","2016-10-31",70.58299197252053
"ZC3","2016-10-31",16.59251081691046
"ZS2","2016-10-31",0.07101765006260058
"ZS1","2016-10-31",2.434082163454994
"ZC2","2016-10-31",16.439327232349218
"ZC4","2016-10-31",27.743040642670714
"ZS3","2016-10-31",4.531017095495326
"ZC1","2016-11-10",67.80483124096924
"ZC3","2016-11-10",19.258770855218778
"ZS2","2016-11-10",0.047345100041733715
"ZS1","2016-11-10",2.3337076412506645
"ZC2","2016-11-10",17.372403311257763
"ZC4","2016-11-10",27.07242047094383
"ZS3","2016-11-10",4.531017095495326
"ZC1","2016-12-10",61.51799739427146
