causante,causada,F,p-valor,¿causa? (5%)
nieve,savi,1.9607383487111272,0.16262200025558513,No
nieve,agua,4.511701787075499,0.034604160222019884,Sí
savi,nieve,0.09873008219799857,0.7536099499297697,No
savi,agua,1.3183602124681129,0.25193782211044446,No
agua,nieve,0.2048877920920714,0.6511801694660826,No
agua,savi,0.2277376821789239,0.633605753433526,No
