fecha,nieve_original,nieve_transformada,nieve_estacionaria,savi_original,savi_transformada,savi_estacionaria,agua_original,agua_transformada,agua_estacionaria
1986-01-01,11242.755182334067,9.327568158606715,9.327568158606715,,,,,,
1986-02-01,6798.497939726142,8.824604056045239,8.824604056045239,,,,,,
1986-03-01,494.3580154859242,6.205280764747542,6.205280764747542,,,,,,
1986-04-01,1874.87927320822,7.5368327741948855,7.5368327741948855,,,,,,
1986-05-01,6499.168809170365,8.779583426188092,8.779583426188092,,,,,,
1986-06-01,19584.493432020387,9.882544440167056,9.882544440167056,,,,,,
1986-07-01,34832.67873828084,10.458339977601238,10.458339977601238,,,,,,
1986-08-01,78407.13359040946,11.269682945733013,11.269682945733013,,,,,,
1986-09-01,22685.726236438288,10.029535285144652,10.029535285144652,,,,,,
1986-10-01,5780.639059965112,8.662442495855233,8.662442495855233,,,,,,
1986-11-01,13671.05901459925,9.523109541243048,9.523109541243048,,,,,,
1986-12-01,1129.0650275606956,7.030030456564539,7.030030456564539,,,,,,
1987-01-01,497.2252399933673,6.211052263916057,6.211052263916057,,,,,,
1987-02-01,555.6890320232945,6.322006793222961,6.322006793222961,,,,,,
1987-03-01,1097.975707496184,7.002133849970225,7.002133849970225,,,,,,
1987-04-01,3098.202732901562,8.038900174461055,8.038900174461055,,,,,,
1987-05-01,7916.0235324772975,8.976770597565311,8.976770597565311,,,,,,
1987-06-01,13044.339315148283,9.476186208359282,9.476186208359282,,,,,,
1987-07-01,21581.739993876163,9.97964919988458,9.97964919988458,,,,,,
1987-08-01,11836.78769305481,9.379052040730565,9.379052040730565,,,,,,
1987-09-01,6622.857383838392,8.798433165615682,8.798433165615682,,,,,,
1987-10-01,7625.34967973374,8.939364592989886,8.939364592989886,,,,,,
1987-11-01,3614.194661372401,8.192900981378896,8.192900981378896,,,,,,
1987-12-01,2024.962508487257,7.61380017944849,7.61380017944849,,,,,,
1988-01-01,585.470830874313,6.374122932627097,6.374122932627097,,,,,,
1988-02-01,350.89358771440334,5.863328822264398,5.863328822264398,,,,,,
1988-03-01,294.8427382142491,5.689828023322891,5.689828023322891,,,,,,
1988-04-01,3284.211169067149,8.097186211673709,8.097186211673709,,,,,,
1988-05-01,10013.503237392984,9.211789645011791,9.211789645011791,,,,,,
1988-06-01,5036.812568416305,8.524727252650875,8.524727252650875,,,,,,
1988-07-01,13774.077147210251,9.530616234528862,9.530616234528862,,,,,,
1988-08-01,1810.0826463168864,7.501680092577577,7.501680092577577,,,,,,
1988-09-01,753.5760505469613,6.626156069081893,6.626156069081893,,,,,,
1988-10-01,18846.32434599306,9.84412623829143,9.84412623829143,,,,,,
1988-11-01,285.1680666058543,5.656579283698879,5.656579283698879,,,,,,
1988-12-01,210.7244797750928,5.355285805726324,5.355285805726324,,,,,,
1989-01-01,236.8835704471609,5.471781354172368,5.471781354172368,,,,,,
1989-02-01,255.04626999646317,5.545358170321348,5.545358170321348,,,,,,
1989-03-01,466.7334641396672,6.147898612609834,6.147898612609834,,,,,,
1989-04-01,8841.266301638749,9.08729849173844,9.08729849173844,,,,,,
1989-05-01,5111.585971473537,8.539460616145815,8.539460616145815,,,,,,
1989-06-01,57186.10866862292,10.954083779041422,10.954083779041422,,,,,,
1989-07-01,27027.38820715002,10.204643007716394,10.204643007716394,,,,,,
1989-08-01,7429.505127169024,8.913349120215077,8.913349120215077,,,,,,
1989-09-01,4235.39185642003,8.351467208679882,8.351467208679882,,,,,,
1989-10-01,1783.8881877587185,7.487111052340696,7.487111052340696,,,,,,
1989-11-01,754.9920972210391,6.628030922713572,6.628030922713572,,,,,,
1989-12-01,330.07233474528897,5.802336885475675,5.802336885475675,,,,,,
1990-01-01,2804.88512659694,7.939474321334361,7.939474321334361,,,,,,
1990-02-01,340.0368389293708,5.831990503499416,5.831990503499416,,,,,,
1990-03-01,25455.965675719533,10.14474468495074,10.14474468495074,,,,,,
1990-04-01,668.3761766785798,6.506346199076964,6.506346199076964,,,,,,
1990-05-01,38788.03626334921,10.565892915148552,10.565892915148552,,,,,,
1990-06-01,73858.30128959996,11.20991722843221,11.20991722843221,,,,,,
1990-07-01,35865.95323105685,10.487571627723275,10.487571627723275,,,,,,
1990-08-01,15471.37355889394,9.646811361590721,9.646811361590721,,,,,,
1990-09-01,7108.676935016941,8.869212083651997,8.869212083651997,,,,,,
