id,date,savi,tipo,id_zona,mean_ndvi
2,2016-07-23,0.1848713603450932,bs,ZS3,0.24044239644649304
2,2016-08-12,0.1655257604611663,bs,ZS3,0.24044239644649304
2,2016-09-01,0.1718109664366862,bs,ZS3,0.24044239644649304
2,2016-09-21,0.17417489761503252,bs,ZS3,0.24044239644649304
2,2016-10-11,0.2040170587426056,bs,ZS3,0.24044239644649304
2,2016-10-31,0.24770890704708592,bs,ZS3,0.24044239644649304
2,2016-11-10,0.26833153727217357,bs,ZS3,0.24044239644649304
2,2016-11-30,0.24063675235691104,bs,ZS3,0.24044239644649304
2,2016-12-10,0.2594690912413761,bs,ZS3,0.24044239644649304
2,2016-12-20,0.29052508637889923,bs,ZS3,0.24044239644649304
2,2017-01-19,0.3405889884763124,bs,ZS3,0.24044239644649304
2,2017-01-29,0.367205120390125,bs,ZS3,0.24044239644649304
2,2017-02-18,0.3433953568753961,bs,ZS3,0.24044239644649304
2,2017-02-28,0.43986887932800656,bs,ZS3,0.24044239644649304
2,2017-03-20,0.3742527625143409,bs,ZS3,0.24044239644649304
2,2017-04-09,0.3060577404461256,bs,ZS3,0.24044239644649304
2,2017-05-19,0.26536633338796917,bs,ZS3,0.24044239644649304
2,2017-06-28,0.18413781895010564,bs,ZS3,0.24044239644649304
2,2017-07-13,0.15777042985356635,bs,ZS3,0.24044239644649304
2,2017-07-18,0.16098976630517794,bs,ZS3,0.24044239644649304
2,2017-08-02,0.1445236858262882,bs,ZS3,0.24044239644649304
2,2017-08-07,0.13712752436096595,bs,ZS3,0.24044239644649304
2,2017-08-22,0.08692770228682353,bs,ZS3,0.24044239644649304
2,2017-08-27,0.1397035776653383,bs,ZS3,0.24044239644649304
2,2017-09-11,0.12179878765095624,bs,ZS3,0.24044239644649304
2,2017-09-16,0.13529873850561436,bs,ZS3,0.24044239644649304
2,2017-10-01,0.1573450916686006,bs,ZS3,0.24044239644649304
2,2017-10-06,0.14494458267360327,bs,ZS3,0.24044239644649304
2,2017-10-21,0.1673467557508632,bs,ZS3,0.24044239644649304
2,2017-10-26,0.1704175881358137,bs,ZS3,0.24044239644649304
2,2017-11-10,0.18640141708679656,bs,ZS3,0.24044239644649304
2,2017-11-15,0.22105691424438317,bs,ZS3,0.24044239644649304
2,2017-11-20,0.22239328201539535,bs,ZS3,0.24044239644649304
2,2017-11-30,0.2090004327131112,bs,ZS3,0.24044239644649304
2,2017-12-05,0.2503806228373702,bs,ZS3,0.24044239644649304
2,2017-12-10,0.20545551618696303,bs,ZS3,0.24044239644649304
2,2017-12-20,0.2061561642361298,bs,ZS3,0.24044239644649304
2,2017-12-25,0.2832378433965036,bs,ZS3,0.24044239644649304
2,2017-12-30,0.30260481270156286,bs,ZS3,0.24044239644649304
2,2018-01-14,0.3133740596758722,bs,ZS3,0.24044239644649304
2,2018-01-19,0.2919638848705542,bs,ZS3,0.24044239644649304
2,2018-01-29,0.2657583629327255,bs,ZS3,0.24044239644649304
2,2018-02-08,0.4366062264796442,bs,ZS3,0.24044239644649304
2,2018-02-23,0.40164083865086597,bs,ZS3,0.24044239644649304
2,2018-02-28,0.37139749864056554,bs,ZS3,0.24044239644649304
2,2018-03-05,0.3700666627337621,bs,ZS3,0.24044239644649304
2,2018-03-10,0.3519192884006925,bs,ZS3,0.24044239644649304
2,2018-03-15,0.3405614487487546,bs,ZS3,0.24044239644649304
2,2018-03-20,0.37115395885834845,bs,ZS3,0.24044239644649304
2,2018-03-25,0.35339897411709215,bs,ZS3,0.24044239644649304
2,2018-04-04,0.3068119891008174,bs,ZS3,0.24044239644649304
2,2018-04-09,0.31468777484608623,bs,ZS3,0.24044239644649304
2,2018-04-14,0.32062793257255406,bs,ZS3,0.24044239644649304
2,2018-04-19,0.3081062315570213,bs,ZS3,0.24044239644649304
2,2018-04-24,0.2593897540694806,bs,ZS3,0.24044239644649304
2,2018-04-29,0.17078962992281813,bs,ZS3,0.24044239644649304
2,2018-05-04,0.26146254920441314,bs,ZS3,0.24044239644649304
2,2018-05-09,0.2331993432599219,bs,ZS3,0.24044239644649304
2,2018-05-14,0.23413694472009805,bs,ZS3,0.24044239644649304
2,2018-05-19,0.2347464671654198,bs,ZS3,0.24044239644649304
2,2018-05-24,0.24754969063133112,bs,ZS3,0.24044239644649304
2,2018-05-29,0.2044121753700084,bs,ZS3,0.24044239644649304
2,2018-06-08,0.1850013487995684,bs,ZS3,0.24044239644649304
2,2018-06-13,0.19031283600430088,bs,ZS3,0.24044239644649304
2,2018-06-18,0.1848333601674449,bs,ZS3,0.24044239644649304
2,2018-06-23,0.19720970789129488,bs,ZS3,0.24044239644649304
2,2018-07-03,0.18033979321452692,bs,ZS3,0.24044239644649304
2,2018-07-08,0.18016826287105137,bs,ZS3,0.24044239644649304
2,2018-07-13,0.1779031152812187,bs,ZS3,0.24044239644649304
2,2018-07-28,0.16889580093312595,bs,ZS3,0.24044239644649304
2,2018-08-07,0.1857740585774059,bs,ZS3,0.24044239644649304
2,2018-08-12,0.1820272712337769,bs,ZS3,0.24044239644649304
2,2018-08-17,0.18317767100361715,bs,ZS3,0.24044239644649304
2,2018-08-22,0.15763907025332985,bs,ZS3,0.24044239644649304
2,2018-08-27,0.17203331388255266,bs,ZS3,0.24044239644649304
2,2018-09-01,0.15626745189622784,bs,ZS3,0.24044239644649304
2,2018-09-06,0.18367661410447375,bs,ZS3,0.24044239644649304
2,2018-09-11,0.1645703894529474,bs,ZS3,0.24044239644649304
2,2018-09-16,0.1627815287565916,bs,ZS3,0.24044239644649304
2,2018-09-21,0.17902037277850022,bs,ZS3,0.24044239644649304
2,2018-09-26,0.1498236538913708,bs,ZS3,0.24044239644649304
2,2018-10-01,0.1766383120277527,bs,ZS3,0.24044239644649304
2,2018-10-11,0.17046553391352398,bs,ZS3,0.24044239644649304
2,2018-10-16,0.16320800245689465,bs,ZS3,0.24044239644649304
2,2018-10-21,0.20621245284776232,bs,ZS3,0.24044239644649304
2,2018-10-26,0.16843659221867707,bs,ZS3,0.24044239644649304
2,2018-10-31,0.20277486194149055,bs,ZS3,0.24044239644649304
2,2018-11-10,0.2491057375876377,bs,ZS3,0.24044239644649304
2,2018-11-15,0.1818396560684084,bs,ZS3,0.24044239644649304
2,2018-11-20,0.2596336070751737,bs,ZS3,0.24044239644649304
2,2018-11-25,0.1929579649449356,bs,ZS3,0.24044239644649304
